pl_rade,Teq,st_teff,pl_orbsmax,st_met
12.11,1236.0,6040.0,0.0578,-0.01
2.83,3446.0,5837.0,0.005956602691110735,-0.02
12.218,1096.0,5298.0,0.0452,0.27
14.404,1401.0,5738.0,0.0474,0.025
2.52,807.0,5306.0,0.0734,-0.5
13.899,2429.0,6432.0,0.02024,0.107
3.2,964.0,6200.0,0.113,0.08
2.539,786.0,5660.0,0.1074,-0.28
11.4,3047.0,5966.0,0.02178967843112698,0.14
1.589,1423.0,5520.0,0.03261,0.08
15.278,1376.0,5721.0,0.0493,-0.02
12.442,1439.0,6058.0,0.0555,0.207
8.608,1108.0,5306.0,0.04871,0.344
13.26,1395.0,5640.0,0.04036,0.25
11.96,1123.0,5080.0,0.03649,0.32
2.28,1022.0,5450.0,0.06,0.01
3.15,1194.0,5491.0,0.0378135322159329,-0.03
2.19,463.0,3342.0,0.057,0.03
2.017,614.0,5660.0,0.1758,-0.28
11.65,3624.0,6045.0,0.00918171724875844,-0.02
1.397,6960.0,5430.0,0.0012567511194920816,0.13
3.26,1994.0,5077.0,0.012063146427139704,0.13
2.648,1246.0,5185.0,0.03628234141344845,-0.05
11.27,832.0,6182.0,0.1684,0.023
12.442,2933.0,5588.0,0.012131597914965722,0.01
11.949,253.0,5746.0,2.027,0.196
1.15,3715.0,5893.0,0.009834838077050823,0.03
2.91,457.0,5592.0,0.387,0.06
10.133,421.0,5096.0,0.249,0.14
17.318,2166.0,6272.0,0.05208,0.3
12.64,2637.0,5552.0,0.011536937072183477,0.38
12.094,882.0,4016.0,0.02658,0.322
14.392,1192.0,6120.0,0.0577,0.3
16.141,1743.0,6410.0,0.05453,0.16
3.88,1821.0,5945.0,0.0301,0.22
3.42,1650.0,5397.0,0.026,0.16
2.9,1101.0,5534.0,0.05719565101345181,0.07
2.29,604.0,5568.0,0.1599,-0.11
1.35,2020.0,5987.0,0.02085,0.1
20.849,1532.0,5780.0,0.03397,0.28
2.759,803.0,5320.0,0.0814,-0.02
14.773,1636.0,5956.0,0.03159,0.0
3.53,760.0,4975.0,0.0824,0.0
2.207,565.0,4316.0,0.0783,-0.23
2.6,488.0,4455.0,0.126,0.113
1.61,5216.0,5488.0,0.00254520179669833,-0.07
4.0,542.0,7500.0,0.6634524551092713,0.05
12.14,1143.0,5660.0,0.0642,0.27
3.395,969.0,5007.0,0.022853674810460047,-0.033
11.882,1564.0,6250.0,0.0486,0.258
17.71,1973.0,6460.0,0.04997,0.01
1.64,1006.0,5125.0,0.0522,0.15
16.141,1696.0,6801.0,0.0568,0.02
17.038,3807.0,6080.0,0.012324046782722418,0.22
13.63,1390.0,5693.0,0.0444,0.2
11.568,791.0,3776.9,0.02384,0.514
2.69,991.0,5170.0,0.0526,0.12
11.433,1795.0,5640.0,0.02734,0.143
3.207,3344.0,5377.0,0.005821941178324836,0.018
2.587,782.0,4734.0,0.06152,0.05
2.651,632.0,4734.0,0.09429,0.05
11.882,845.0,6300.0,0.158,0.12
13.45,583.0,5820.0,0.23571938012270882,-0.05
6.049,7947.0,5690.0,0.0019153175967148613,0.252
5.2,1167.0,6172.0,0.0974,-0.06
1.22,4226.0,5748.0,0.007056268188144729,0.09
2.39,961.0,5356.3,0.05893,0.14
10.76,1298.0,5515.0,0.05714,0.36
1.206,648.0,3506.0,0.03197,-0.2
14.908,1326.0,4660.0,0.0236,-0.26
12.016,1036.0,4508.0,0.02996,-0.059
2.39,646.0,5125.0,0.1268,0.15
2.34,792.0,4324.0,0.060659976920739885,-0.06
